ID;Link;Aussagen
;#NV;In den folgenen Jahren nach dem ersten Lebensjahr sollte die Gabe von Tiermilchprodukten von maximal 200 Milliliter pro Tag nur langsam gesteigert werden 
;#NV;Es wird empfohlen, dass Kinder in den ersten vier Jahren gar keinen Fencheltee trinken, da Fenchel Estragol enthält
;#NV;Estragol kann in größeren Mengen leberkrebsauslösend sein
;#NV;Es wird empfohlen, dass Kinder in den ersten vier Jahren gar keinen Fencheltee trinken, da nicht ganz klar ist, wie viel Estragol in einem jeweiligen Fencheltee enthalten ist
;#NV;Zucker gehört zu den Lebensmitteln, die beim Baby Krankheiten auslösen oder noch nicht gut verarbeitet werden können
;#NV;Zucker sollte besonders in den ersten Lebensjahren maximal in Maßen gegeben werden 
104;https://www.instagram.com/p/DJej5UrxYoQ/?hl=de;Babies need more iron between 6 to 12 months than an adult male
;#NV;Babys should get iron-rich foods like beef liver, eggs, red meat, bone marrow, meat stock
;#NV;Babys should not get fortified rice cereal
;#NV;Babys should not get veggie purees
;#NV;Plant foods like fortified rice cereal and veggie purees are known to cause digestive upsets
;#NV;Plant foods like fortified rice cereal and veggie purees are known to cause allergies
;#NV;Plant foods like fortified rice cereal and veggie purees are known to cause eczema
;#NV;If a baby lacks iron, they run the risk of having physical delays
;#NV;If a baby lacks iron, they run the risk of having developmental delays
46;#NV;It is an appropriate approach to start the first foods when the baby is six months old
;#NV;A wedge of ripe avocado is an appropriate first food in the first week of starting solids
;#NV;Smashed avocado is an appropriate first food in the first week of starting solids
;#NV;A wedge of ripe avocado or smashed avocado is high in healthy fats
;#NV;Healthy fats are important for neurological development
;#NV;A roasted piece of sweet potato that passes the squish test is an appropriate first food in the first week of starting solids
;#NV;A roasted piece of sweet potato that passes the squish test is a plant-based iron source that is important for baby
;#NV;A mango pit rolled in ground flaxseed is an appropriate first food in the first week of starting solids
;#NV;A mango pit rolled in ground flaxseed is amazing for practicing the Palmer grasp
;#NV;A mango pit rolled in ground flaxseed is a low choking risk for baby's first food
;#NV;A well-done piece of steak for baby to gnaw on and suck the juices out of is an appropriate first food in the first week of starting solids
;#NV;A well-done piece of steak for baby to gnaw on and suck the juices out of is a high bioavailable source of iron
;#NV;Iron is a critical nutrient that needs to be prioritized when babies first start solids
5;#NV;Feeding a baby the potentially allergenic foods should be done early so that they get that allergenic food in their system
;#NV;Feeding a baby the potentially allergenic foods should be done often so that they get that allergenic food in their system
;#NV;There is no guidance and no research that tells exactly what constitutes early when it comes to feeding your baby the potentially allergenic foods
;#NV;There is no guidance and no research that tells exactly what constitutes often when it comes to feeding your baby the potentially allergenic foods
;#NV;there's no benefit to waiting to introduce potentially allergenic foods so it should be done around the time a baby is ready to start solid foods 
;#NV;the time a baby is ready to start solid foods is at about six months of age 
;#NV;An allergic reaction never occurs on the first exposure
;#NV;It is possible that a baby had an environmental exposure the the allergen and then the first time the baby had it from a food standpoint, they had the reaction
;#NV;Allergenic reactions can occur on the second or subsequent exposure
60;https://www.instagram.com/p/DKdyvext_nh/?hl=de;Eggs are one of the most common allergens
;#NV;It is a suitable approach to introduce eggs to a six months old
;#NV;Early exposure to allergens can help reduce the risk of developing food allergies later on
;#NV;Regular exposure to allergens can help reduce the risk of developing food allergies later on
;#NV;It is a suitable approach to start giving the baby egg yolk since most of the allergenic proteins are in the white
;#NV;It is a suitable approach to introduce egg whites gradually after introducing the egg yolk
;#NV;It is a suitable approach to hard boil the eggs
;#NV;It is a suitable approach to mash the egg yolk 
;#NV; It is a suitable approach to mix egg yolk with unsalted ghee to level it up
;#NV;It is a suitable approach to mix egg yolk with breast milk to keep the taste familiar
;#NV;It is a suitable approach to mix egg yolk with breast milk to smooth the texture
;#NV;The egg yolk is rich in choline
;#NV;The egg yolk is rich in iron
;#NV;The egg yolk is rich in healthy fats 
;#NV;Choline is essential for baby's brain development
;#NV;Iron is essential for baby's brain development
;#NV;Healthy fats are essential for baby's brain development
;#NV;Ghee contains healthy fats for nutrient absorption 
;#NV;Instead of Ghee unsalted butter can be used
;#NV;There is no need to worry about how much of the allergen they eat 
;#NV;One or two bites count as exposure to allergens
64;https://www.instagram.com/p/DNGpCHtuokQ/?hl=de;It is a suitable approach to give salmon to a baby as one of the first foods
;#NV;One tablespoon of salmon can meet up to 100% of babies daily omega-3 needs
;#NV;omega-3 is so important for brain development
;#NV;Salmon contains high-quality protein
;#NV;Salmon contains iron
;#NV;Salmon contains vitamin D
;#NV;Salmon contains B12
;#NV;Growing babies need Omega-3
;#NV;Growing babies need high-quality protein
;#NV;Growing babies need iron
;#NV;Growing babies need vitamin D
;#NV;Growing babies need B12 
;#NV;Salmon is low in mercury, making it a great fish to serve often
;#NV;early exposure to common allergens, like salmon, can help prevent allergies from developing
;#NV;consistent exposure to common allergens, like salmon, can help prevent allergies from developing
;#NV;Salmon is a nourishing food
11;#NV;It is a myth that infant sleep issues such as night waking are a sign that they're ready to start solids 
;#NV;It is a myth that starting solids is a helpful strategy to prevent infant sleep issues
;#NV;It is a myth that starting solids is a helpful strategy to treat infant sleep issues
;#NV;It is a myth that increasing solids is a helpful strategy to prevent infant sleep issues
;#NV;It is a myth that increasing solids is a helpful strategy to treat infant sleep issues
;#NV;It is recommended to start solids at around six months, but not before four months and according to when the baby is showing that they are developmentally ready 
;#NV;There's no evidence that starting solids before a baby's developmentally ready has any benefit 
;#NV;There's no evidence that starting solids before a baby's developmentally ready prevents issues such as iron deficiency
;#NV;Starting solids before a baby is developmentally ready can have risks such as affecting their digesting system
;#NV;Starting solids before a baby is developmentally ready can have risks such as impacting their nutrition
;#NV;Starting solids before a baby is developmentally ready can have risks such as negatively impacting breastfeeding 
;#NV;Starting solids before a baby is developmentally ready can have risks such as representing a choking risk
;#NV;For babies who are having feeding issues the appropriate management is to increase milk feeds not starting solids before a baby is developmentally ready
;#NV;For babies where there are concerns about weight the appropriate management is to increase milk feeds not starting solids before a baby is developmentally ready
;#NV;Starting solids before a baby is ready might make their sleep worse
;#NV;If there are concerns about the realtion of babies sleep, feeding and weight it is recommended to talk to a GP or another trusted health professional
38;#NV;Nicht das Alter ist entscheidend dafür wann ein Kind reif für die Beikost ist, sondern die Beikostreifezeichen. 
;#NV;Es ist ein Beikostreifezeichen, dass das Kind halbwegs aufrecht sitzen kann
;#NV;Es ist ein Beikostreifezeichen, dass das Kind eine stabile Kopf- und Rumpfkontrolle hat
;#NV;Das Kind muss noch nicht alleine auf einem Hochstuhl sitzen können, um mit der Beikost zu starten
;#NV;Es reicht aus, wenn das Kind auf den Schoß genommen wird und dort mit Untertsützung sitzen kann 
;#NV;Es ist ein Beiksotreifezeichen, dass der Zungenstoßrefelx beim Kind verschwunden ist
;#NV;Der Zungenstoßreflex ist verschwunden, wenn das Kind nicht mehr alles Mögliche mit der Zunge wieder rausschiebt
;#NV;Es ist ein Beikostreifezeichen, dass das Kind eine Hand-Mund-Augen-Koordination hat
;#NV;Hand-Mund-Augen-Koordination bedeutet, dass das Kind etwas sieht, greift und gezielt in den Mund steckt
;#NV;Es gibt drei Beikostreifezeichen, die ein Kind erfüllen sollte, um bereit für die Beikost zu sein 
;#NV;Das Kind ist beikostreif, wenn es die Reifezeichen erfüllt und sich im Alter von frühestens fünf Monaten und spätestens sieben Monaten befindet
62;https://www.instagram.com/p/DKdyvext_nh/?hl=de;It is a suitable approach to introduce nutrient-dense foods after 6 months of exclusive breastfeeding
;#NV;It is a suitable approach to introduce easy-to-digest foods after 6 months of exclusive breastfeeding
;#NV;Nutrient-dense foods support growth
;#NV;Nutrient-dense foods support brain development 
;#NV;Nutrient-dense foods support immune system
;#NV;Easy-to-digest foods support growth
;#NV;Easy-to-digest foods support brain development 
;#NV;Easy-to-digest foods support immune system
;#NV;After 6 months baby's iron requirements go up 
;#NV;The best way to support a baby in relation to iron requirements is to offer animal foods like red meat, bone marrow, grass-fed butter, organ meats, eggs and meat stock
;#NV;The iron found in meats is highly bioavailable
;#NV;Zinc found in meats is highly bioavailable
;#NV;Vitamin B12 found in meats are highly bioavailable
;#NV;Essential nutrients found in meats besides iron, zinc, vitamin B12 are highly bioavailable
;#NV;Nutrients found in meats support optimal growth 
;#NV;Nutrients found in meats support optimal development
;#NV;Proteins are essential macronutrients at 6 months
;#NV;Fats are essential macronutrients at 6 months
;#NV;Proteins support energy
;#NV;Proteins support brain development 
;#NV;Proteins support a strong body
;#NV;Proteins support a healthy body
;#NV;Fats support energy
;#NV;Fats support brain development 
;#NV;Fats support a strong body
;#NV;Fats support a healthy body
;#NV;It is a suitable approach to focus on nutrient density over variety
;#NV;It is a suitable approach to let babies explore foods at their own pace
;#NV;It is a suitable approach to introduce allergens thoughtfully to build a healthy gut
;#NV;By prioritising real nutrient-rich foods the foundation for for long-term strength is build
;#NV;By prioritising real nutrient-rich foods the foundation for for long-term overall wellbeing is build
;#NV;By prioritising real nutrient-rich foods the foundation for for long-term focus is build
6;#NV;There are four signs a baby is ready to start solids that need to be looked out for before starting solids
;#NV;One sign is if a baby can sit upright without any support
;#NV;Sitting upright without any support means that babies are not flopping forwards and that they don't need a chair to hold their busts up
;#NV;If babies are not meeting the sign of sitting upright, it means that their tummy muscles are not ready to digest food yet
;#NV;One sign of readiness is if babies have lost a tongue thrust reflex
;#NV;The tongue thrust reflex means babies push things out of their mouth with their tongue
;#NV;babies start to loose the tongue thrust reflex when they reach about six months 
;#NV;When babies loose the tongue thrust reflex they will be able to put the food in their mouth 
;#NV;When babies loose the tongue thrust reflex they will be able to move food with their tongue
;#NV;One sign of readiness is that a baby is able to turn their head from side to side, so they can indicate you that they've had enough food
;#NV;If babies can't turn their head from side to side yet it means that there's a risk of overfeeding them
;#NV;Turning the head from side to side is a very important sign
;#NV;One obvious sign is baby being interested in the food 
;#NV;One obvious sign is baby trying to grab the food 
;#NV;One obvious sign is baby mimicking chewing motions
;#NV;Generally babies meet the signs of readiness at around six months
;#NV;Meeting the signs of readiness can be anywhere from five and a half months to seven months
88;https://www.instagram.com/p/DPtmjW0Ajnd/?hl=de;Between four and six months is the opportunity to assess and watch a baby's cues to start solids
;#NV;One sign of readiness is interest in food
;#NV;It should be eaten lots around the child 
;#NV;One sign of readiness is that a baby is able to sit supported with some good head and neck control
;#NV;One sign of readiness is that a baby is showing a visual interest when people around them are eating 
;#NV;One sign of readiness is that a baby is showing a visual interest when there is food around
;#NV;Starting a baby on solids between four and six months is totally fine and appropriate 
;#NV;Solids are not there to solve problems but to teach a baby how to eat
43;#NV;Es gibt drei Reifezeichen zur Beikost
;#NV;Speisen sollten mit dem 2-Finger-Quetschtest geprüft werden
;#NV;Der Hochstuhl sollte richtig eingestellt sein
;#NV;Essen ist für Babys eine Multi-Sensorik-Erfahrung
;#NV;Das meiste Essen landet zu Beginn nicht im Mund des Babys
;#NV;Es muss nicht jeden Tag das gleiche Gemüse angeboten werden
;#NV;Es muss nicht strikt nach Plan gekocht werden 
;#NV;In der Zeit zwischen 6 und 18 Monaten sind Kinder kulinarisch offen für Neues
;#NV;Die kulinarische Neugier der Kinder sollte genutzt werden
18;#NV;Es ist wichtig, dass Babys aufrecht alleine auf dem Schoß sitzen können bevor mit Beikost begonnen wird
;#NV;Babys müssen zur Beikost noch nicht alleine auf dem Hochstuhl sitzen können, aber aufrecht auf dem Schoß ohne, dass der Kopf davon fällt
;#NV;Es ist wichtig, dass der Zungenstoßreflex verschwundnen ist bevor mit Beikost begonnen wird
;#NV;Zungenstoßreflex bedeutet wenn Essen in den Mund kommt, schiebt das Baby das Essen noch mit der Zunge aus dem Mund 
;#NV;Es ist wichtig, dass Kinder eine Hand-Auge-Mund-Koordination aufweisen bevor mit Beikost begonnen wird
;#NV;Das Kind sollte Essen selbstständig zum Mund führen können bevor mit Beikost gestartet wird
91;https://www.instagram.com/p/DBik7EpOsrT/?hl=de;Ob ein Kind bereit ist für Beikost, ist unter anderem daran zu erkennen, dass das Kind Interesse und richtig Lust aufs Essen hat
;#NV;Ob ein Kind bereit ist für Beikost, ist unter anderem daran zu erkennen, dass das Kind eine gute Kopfkontrolle hat
;#NV;Ob ein Kind bereit ist für Beikost, ist unter anderem daran zu erkennen, dass das Kind einigermaßen kontrolliert und mit etwas Unterstützung sitzen kann
;#NV;Ob ein Kind bereit ist für Beikost, ist unter anderem daran zu erkennen, dass das Kind greifen kann
;#NV;Ob ein Kind bereit ist für Beikost, ist unter anderem daran zu erkennen, dass der Zungenstoßreflex nicht mehr so ausgeprägt ist
;#NV;Es wird empfohlen mit ungefähr 6 Monaten mit der Beikost zu beginnen 
;#NV;Es wird empfohlen frühestens mit 5 Monaten mit der Beikost zu beginnen 
;#NV;Um herauszufinden, wann ein Kind bereit ist für die Beikost, soll sich nicht durch Empfehlungen verunsichert werden lassen, sondern auf die Signale der individuellen Entwicklung des Kindes geachtet werden 
;#NV;Um herauszufinden, wann ein Kind bereit ist für die Beikost, soll sich nicht durch Empfehlungen verunsichert werden lassen, sondern auf  Vorlieben des Kindes geachtet werden 
;#NV;Manche Kinder sind früher, mache Kinder später bereit für die Beikost
30;#NV;four to six month is the perfect window for babies to be exposed to as many allergens as possible to reduce the long-term risk of allergy
;#NV;At home a finger can be used to give the allergen like peanut butter to the baby
;#NV;Babies don't actually need to ingest any allergen, it just has to be in and around their mouth 
;#NV;It is a suitable approach to give a tiny bit of smooth peanut butter to a baby between four to six months
;#NV;It counts as a perfect exposure to peanuts if the baby is given a tiny bit of peanut butter, that is not enough to be swallowed and the baby palys with ist and licks it
80;https://www.instagram.com/p/DQIEKeMkimw/?hl=de;Only exclusive breastfeeding or formula up until six months is beneficial for a baby 
;#NV;It is recommended that at six months it should be started to introduce solids as complementary feeding
;#NV;Breast milk and formula should still be a baby's main source of nutrition from six to 12 months
;#NV;What really matters when starting solids at the right time is not whether a baby is four months old or six months old but that a baby is developmentally ready and showing all the signs of readiness
;#NV;Knowing the signs of readiness is the difference between feeding with stress and feeding with confidence
8;#NV;Babys unter einem Jahr sollten kein Salz bekommen
;#NV;Die kleinen Nieren eines Babys sind unter einem Jahr noch nicht vollständig ausgereift 
;#NV;Die kleinen Nieren eines Babys können überschüssiges Natrium nicht ausscheiden
;#NV;Zu viel Salz kann den Körper eines Babys unnötig belasten 
;#NV;Zu viel Salz bei Babys kann später im Leben für Bluthochdruck verantwortlich sein 
;#NV;Es gibt Maximalangaben von Salz pro Tag
;#NV;Salz sollte beim Kochvorgang nicht aktiv in die Nahrung reingegeben werden, denn in Situationen, in denen woanders gegessen wird, bekommt das Baby automatisch Salz
;#NV;Salz sollte beim Kochvorgang nicht aktiv in die Nahrung reingegeben werden, denn in Situationen, denn wenn auf eine Linsenwaffel zurückgegriffen wird, bekommt das Baby automatisch Salz
;#NV;Babys haben doppelt so viele Geschmacksknospen wie Erwachsene
;#NV;Essen schmeckt Babys auch ohne Salz
;#NV;Mit gewissen Kräutern kann auch ohne Salz ein ein richtig guter Geschmack für die Nahrung des Kindes kreiert werden
;#NV;Mit Zwiebeln kann auch ohne Salz ein ein richtig guter Geschmack für die Nahrung des Kindes kreiert werden
;#NV;Mit Hefeflocken kann auch ohne Salz ein ein richtig guter Geschmack für die Nahrung des Kindes kreiert werden
25;#NV;Es muss sich keine Sorgen gemacht werden, wenn ein sechs Monate altes Baby noch nichts essen möchte 
;#NV;Wenn ein Baby mit sechs Monaten noch nichts essen möchte, ist das kein Zeichen, dass etwas falsch gemacht wurde
;#NV;Beikost ist Nahrung zusätzlich zur Milch 
;#NV;Ein Baby darf die ersten Wochen der Beikost einfach ausprobieren, riechen, matschen, schmecken
;#NV;Es ist okay, wenn ein Baby in den ersten Wochen der Beikost noch nicht viel isst
;#NV;Milch bleibt die wichtigste Nahrungsquelle im ersten Lebensjahr
;#NV;Milch liefert im ersten Lebensjahr alles, was ein Baby braucht
;#NV;Das Interesse am Essen kommt meist ganz von allein, wenn ein Baby soweit ist
109;https://www.instagram.com/p/C6A5ok9tnGI/?hl=de;Liver is one of the best foods for a baby
;#NV;pastured chicken liver is an appropriate food for babys
;#NV;Liver and animal fat are the perfect pair because liver contains high amounts of fat-soluble vitamins
;#NV;fat-soluble vitamins means in order for the body to use them properly, there must be fat
;#NV;Liver and animal fat become more usable by the body when they are combined
;#NV;Liver and animal fat become more useful by the body when they are combined
;#NV;Putting fats and sugars in the same category in a food pyramid is just plain wrong
;#NV;fats are very healthy 
;#NV;Fats are one of the best foods that can be given to a baby early on in life because it's nutritional profile 
;#NV;Fats are one of the best foods that can be given to a baby early on in life because it's unique flavor
;#NV;When baby' taste buds are trained while young the baby is going to be a happy, healthy eater with a balanced demeanor
;#NV;When baby's microbiome is shaped while young the baby is going to be a happy, healthy eater with a balanced demeanor
89;https://www.instagram.com/p/DRKk4_ykZTz/?hl=de;It is an appropriate approach to use a combination of purees and soft solids when introducing food to a baby
;#NV;When starting with purees, what's important is making sure that babies still get the sensory experience that they need to keep meeting developmental milestones
;#NV;When starting with purees, what's important is making sure that babies still get the motor experience that they need to keep meeting developmental milestones
;#NV;When holding a spoonful of a puree and bringing it to baby's mouth and baby opens their mouth and brings it in, they're missing out on fine motor experience of reaching for a spoon and bringing it to their mouth
;#NV;When holding a spoonful of a puree and bringing it to baby's mouth baby is not in control of how much food is going into their mouth
;#NV;A tricky thing about purees, especially if baby is getting too much puree on a spoon, is that they spread out in baby's mouth
;#NV;Spreaded purees in baby's mouth can contribute to gagging
;#NV;When purees are offered on a teether, baby's still getting the fine motor experience of picking up the teether and bringing it to their mouth 
;#NV;When purees are offered on a teether, baby's still getting the sensory experience of having the teether in their mouth
;#NV;Chewing on the teether versus sucking the puree off of the spoon is a really important difference because for most babies between six and eight months is the best time for them to develop chewing skills
;#NV;Using chewing skills helps stabilize the jaw
;#NV;Stabilizing the jaw is really important for things like drinking
;#NV;Teething popsicles are great for the fine motor development of picking up the popsicle from the tray 
;#NV;Teething popsicles made from breast milk or formula are safe starting around four months
;#NV;Popsicles with little bumps on the end are great for helping baby get their mouth ready for the sensory experience of food
;#NV;A mango pit that has most of the fruit removed, that baby's going to pick up from the tray and gum on, is developing chewing skills 
;#NV;A mango pit that has most of the fruit removed, that baby's going to pick up from the tray and gum on, is developing fine motor skills of hanging onto the mango pit
;#NV;A feeder can be a great option for parents who are nervous about starting solids because it still gives baby that chewing experience in a high reward, low risk way
87;https://www.instagram.com/p/DPtmjW0Ajnd/?hl=de;Whipped Bone Marrow ist ein Superfood, dass Babys für ein starkes Gehirn brauchen
;#NV;Whipped Bone Marrow ist ein Superfood, dass Babys für eine gesunde Entwicklung brauchen
;#NV;Whipped Bone Marrow ist voll mit den Fetten, die kleine Köpfe lieben
;#NV;Whipped Bone Marrow ist so super für das Gehirn eines Babys, denn das Gehirn wächst nie wieder so viel wie in den ersten drei Jahren
;#NV;Weil das Gehirn nie wieder so viel wie in den ersten drei Jahren wächst, ist es super wichtig, dass die Kinder gesunde und gute Fette erhalten 
;#NV;Bone Marrow ist voll davon gesunden und guten Fetten 
68;https://www.instagram.com/p/Cz_mfbeNvBN/?hl=de;When a baby starts solids around six months old, breast milk or formula is still their primary source of nutrition until they're at least one
;#NV;Solids at around six months are more about exploration, not replacing milk feeds
;#NV;Solids at around six months are more about practice and learning how to eat, not replacing milk feeds
;#NV;When starting solids at around six months, it should be started with once a day
;#NV;When starting solids a time that works for the family should be picked
;#NV;Solids can be started at breakfast time
;#NV;Solids can be started at lunchtime
;#NV;Solids can be started at dinnertime
;#NV;It is an appropriate approach to give solids when the family is already sitting down and having a meal for example at dinnertime
;#NV;When starting solids the focus should be on single ingredient foods, especially when introducing the top nine allergens, so the baby can be watched for any reactions 
;#NV;Around seven or eight months, once baby is starting to get more comfortable and excited about solids, then a second meal can be added
;#NV;Portions should be kept small at around seven or eight months
;#NV;Babies are not eating solids as much for nutrition
;#NV;It's okay if babies don't actually swallow a lot of the food 
;#NV; A few spoonfuls or bites of solid food is plenty
;#NV;Around nine or ten months, most babies can handle three meals a day, so like eating breakfast, lunch, and dinner with the family 
;#NV;Introducing solids should be started slow
;#NV;When introducing solids variety should be added
;#NV;Introducing solids should be gradually increased as the baby shows readiness
72;https://www.instagram.com/p/Cz_mfbeNvBN/?hl=de;Babys dürfen Eier ab Beikostreife essen
;#NV;Eier sind ein tolles Lebensmittel, weil sie hochwertiges Eiweiß enthalten
;#NV;Eier sind ein tolles Lebensmittel, weil sie gesunde Fette enthalten
;#NV;Eier sind ein tolles Lebensmittel, weil sie Eisen enthalten
;#NV;Eier sind ein tolles Lebensmittel, weil sie viele Vitamine enthalten
;#NV;Eier enthalten Vitamin B12 
;#NV;Eier enthalten Vitamin A
;#NV;Eier enthalten Vitamin D 
;#NV;Eier enthalten Vitamin E
;#NV;Ein gekochtes Ei eignet sich super für den Beikoststart
;#NV;Eier können in mundgerechte Stücke geschnitten werden, um sie dem Kind anzubieten 
;#NV;Es ist wichtig, dass Eier immer komplett durchgegart sind, damit keine Salmonellengefahr besteht
;#NV;Eier können Kindern als Omlett angeboten werden
;#NV;Zu einem Omlett kann Paprikapulver hinzugegeben werden
;#NV;Zu einem Omlett kann Pertersilie hinzugegeben werden
;#NV;Zu einem Omlett kann Schnittlauch hinzugegeben werden
;#NV;Das Omlett sollte ohne Salz zubereitet werden
;#NV;Das Omlett kann in der Pfanne mit ein bisschen Rapsöl angebraten werden
;#NV;Eier gehören zu den häufigen Allergien
;#NV;Es wird empfohlen Ei frühzeitig einzuführen, um das Allergie-Risiko zu senken
;#NV;Es wird empfohlen in kleinen Mengen einzuführen, um das Allergie-Risiko zu senken
;#NV;Eier sollten nicht vermieden, sondern regelmäßig in den Speiseplan eingebaut werden 
;#NV;Am Anfang sollten nur kleine Mengen an Ei gegeben werden 
48;#NV;The best way to prevent egg allergies is to feed eggs early and often
;#NV;It is an appropriate approach to give scrambled egg to a six-month-old
;#NV;It is an appropriate approach to add a bit of pumped milk to a scrambled egg to create a soft, squishable, safe texture
;#NV;It is an appropriate approach to add a bit of formula to a scrambled egg to create a soft, squishable, safe texture
;#NV;The egg sould be fully cooked 
;#NV;Scrambled egg is a nutritious meal for a baby
29;#NV;For the overwhelming majority of kids the right thing to do is to follow the current public health advice to aim to exclusively breastfeed for six months 
;#NV;For the overwhelming majority of kids the right thing to do is to follow the current public health advice to introduce solids at around six months when the baby's ready to start 
;#NV;For the overwhelming majority of kids the right thing to do is to follow the current public health advice to not delay the introduction of allergenic foods such as egg and peanut
;#NV;For exceptions like children who have got eczema, particularly bad eczema that started early and has been really troublesome the evidence strongly suggests that it would be a good idea to consider starting the introduction of allergens a little bit earlier than six months
;#NV;For exceptions like children where there's already evidence that the infant has a food allergy issue the evidence strongly suggests that it would be a good idea to consider starting the introduction of allergens a little bit earlier than six months
;#NV;In cases where babies are being breastfed and are getting problems because of milk in mum's diet there is good evidence that introducing allergenic foods such as egg or peanut or sesame from as early as 17 weeks, only when the baby is ready, would be a good idea because that can further reduce the risk of allergies developing
;#NV;In cases where babies are being breastfed and are getting problems because of egg in mum's diet there is good evidence that introducing allergenic foods such as egg or peanut or sesame from as early as 17 weeks, only when the baby is ready, would be a good idea because that can further reduce the risk of allergies developing
37;#NV;Es gibt diverse Reifezeichen, die die Bereitschaft eines Babys für die Beikost signalisieren
;#NV;Ein Reifezeichen ist, dass der Ausspruckreflex, durch den ein Baby die Zunge streckt, um feste Nahrung aus dem Mund zu schieben, verschwindet
;#NV;Ein Reifezeichen ist, dass die Zähne des Babys durchbrechen  
;#NV;Ein Reifezeichen ist, dass das Baby weitestgehend alleine aufrecht sitzen kann mit minimaler Unterstützung, dabei den Kopf sehr gut alleine halten kann und nicht mehr nach vorn kippt
;#NV;Ein Reifezeichen ist, dass das Baby koordinierte Hand-zu-Mund-Bewegungen durchführt
;#NV;Ein Reifezeichen ist, dass sich der Mund des Kindes bei Berührungen mit dem Löffel oder mit Lebensmitteln von ganz alleine öffnet
;#NV;Ein Reifezeichen ist, dass das Baby sich immer mehr für Lebensmittel interessiert, indem es am Familienessen teilnehmen möchte und  hier und da nach Lebensmitteln greift
2;#NV;The arbitrary cut-offs like starting solids at four months or at six months have no scientific basis
;#NV;When you start solids in your baby depends on several factors
;#NV;There is about an 8 to 6 week window in which solids can be started in a baby, depending on whether the baby is showing signs of readiness and that the caregiver is ready
;#NV;It is generally preferable to wait until the baby is at least 18 to 20 weeks of age before introducing solids
;#NV;It is preferable not to wait beyond 26 weeks of age to start solids
93;https://www.instagram.com/p/DBik7EpOsrT/?hl=de;Extreme amounts of sodium consumption can be very dangerous for babies
;#NV;Extreme amounts of sodium consumption in babies would generally only happen because of a medical mistake
;#NV;A baby doesn't need high salted chips
;#NV;High salted chips have a lot of sodium 
;#NV;There are concerns about developing a high taste for high salted chips
;#NV;Developing a high taste for high salted chips could lead to high blood pressure later
;#NV;Developing a high taste for high salted chips could lead to other issues besides high blood pressure later
;#NV;A regular amount of salt that a family would typically have in a meal that they eat at home is completely fine for babies
;#NV;There is no reason to make a totally no salt meal for a baby
;#NV;Salt should not be overdone 
63;https://www.instagram.com/p/DKdyvext_nh/?hl=de;Knochenmark ist ein Superfood für Babys
;#NV;Knochenmark ist perfekt für die Gehirnentwicklung
;#NV;Knochenmark ist perfekt für das Immunsystem
;#NV;Knochenmark ist perfekt für die Knochengesundheit
;#NV;Knochenmark baut den Darm auf
;#NV;Knochenmark ist leicht verdaulich
;#NV;Knochenmark ist gut bioverfügbar 
;#NV;Knochenmark ist voll mit Nährstoffen 
;#NV;Knochenmark kann überall mit reingemischt werden für einen Nährstoffboost
70;https://www.instagram.com/p/Cz_mfbeNvBN/?hl=de;Eltern, die Allergiker:innen sind sollten nicht vorsorglich gewisse Lebensmittel meiden, um zu vermeiden, dass das Kind Allergien darauf entwickelt
;#NV;Der einzige Weg zur Allergieprävention ist so viel Input wie möglich
;#NV;Zur Allergieprävention sollten Babys so viele Lebensmittel wie möglich erhalten, denn mit je mehr ein Kind konfrontiert wird während der Beikosteinführung, desto geringer ist die Wahrscheinlichkeit, dass ein Kind eine Allergie entwickelt, auch wenn bereits die Mama eine Allergie hat 
;#NV;Wenn bereits die Mama eine Allergie hat, liegt beim Kind eine gewisse Prädisposition vor
82;https://www.instagram.com/p/DPtmjW0Ajnd/?hl=de;There is no exact science on how to balance milk and solid food 
;#NV;The approach to balance milk and solid food should be individualized to the child 
;#NV;Between six and nine months of age milk feeds should be kept on relatively the same schedule
;#NV;Milk feeds between six and nine months of age should still be prioritized 
;#NV;Milk feeds between six and nine months of age should be offered about one hour before solid foods
;#NV;The main nutrition for babies between six and nine months should be coming from milk feeds 
;#NV;Forr babies between six and nine months solid foods will be complementing their milk-based diet
;#NV;Once a kid turns nine months, it can be switched to offering solid foods about one hour before milk feeds
;#NV; The goal is to make a low transition from a primarily milk-based diet to a primarily solid food diet between six to twelve months of age 
;#NV;During the transition from a primarily milk-based diet to a primarily solid food diet the child's lead should be followed
;#NV;During the transition from a primarily milk-based diet to a primarily solid food diet responsive feeding should be used 
;#NV;During the transition from a primarily milk-based diet to a primarily solid food diet solid food intake should be gradually increased
;#NV;It is not expected that milk feeds decrease when starting solids 
;#NV;It is not wanted that milk feeds decrease when starting solids 
;#NV;If there are any concerns with the child not progressing with solids it should be reached out to a pediatric dietitian 
;#NV;If there are any concerns with the child not progressing with solids it should be reached out to a pediatrician
;#NV;If there are any concerns with the child decreasing milk feeds too fast it should be reached out to a pediatric dietitian 
;#NV;If there are any concerns with the child decreasing milk feeds too fast it should be reached out to a pediatrician
41;#NV;Healthy fats are one of the most essential nutrients for weaning babies
;#NV;It is an appropriate approach to give mashed egg yolk to a baby
;#NV;It is an appropriate approach to give tallow to a baby
;#NV;Egg yolk is super high in choline
;#NV;Egg yolk is super high in fat
;#NV;Egg yolk is super high in protein
;#NV;Tallow is super high in choline
;#NV;Tallow is super high in fat
;#NV;Tallow are super high in protein
